Seed = 0

Generation = 1

     x(1)       x(2)       f(1)       CV	
   0.08085    2.96881   67.98487    0.00000 
   0.94422    3.09358   61.55968    0.00000 
   0.74105    2.85462   61.27448    0.00000 
   0.65303    3.00858   64.54360    0.00000 
   0.94422    3.09071   61.47568    0.00000 
   0.84947    2.93890 5290.23858    0.00000 
   0.76498    2.87993   61.01367    0.00000 
   0.83653    3.08441   63.29128    0.00000 
   0.43072    3.19045   71.15575    0.00000 
   0.72242    3.11272   65.88693    0.00000 
   0.88039    3.17354   65.33839    0.00000 
   0.37243    2.78960   66.48471    0.00000 
   0.83653    3.06055   62.67519    0.00000 
   0.72435    2.85462   61.58394    0.00000 
   0.66146    3.02107   64.64754    0.00000 
   0.88487    3.07200   62.08714    0.00000 
   0.59025    3.10413   67.37066    0.00000 
   0.97344    3.17333   63.67153    0.00000 
   0.56241    3.10834   67.78151    0.00000 
   0.16958    2.78960   67.84453    0.00000 
   0.83653    2.95358   60.52753    0.00000 
   0.91153    3.09236   62.15067    0.00000 
   0.54997    2.95358   65.13801    0.00000 
   0.10469    2.76700   68.18103    0.00000 
   0.94422    3.16486   63.89938    0.00000 
   0.67492    2.87993   62.62194    0.00000 
   0.90203    3.09071   62.28178    0.00000 
   0.94422    3.17354   64.21791    0.00000 
   0.87105    3.25214   68.62799    0.00000 
   0.14526    2.95747   67.92258    0.00000 
   0.91885    3.16987   64.53872    0.00000 

Generation = 13

   0.08085    2.96881   67.98487    0.00000 
   0.85380    3.09287   63.21984    0.00000 
   0.88039    3.17354   65.33839    0.00000 
   0.83798    3.03176   61.97343    0.00000 
   1.12448    3.89036  119.90284    0.00000 
   0.87105    3.25214   68.62799    0.00000 
   0.93317    3.55702   86.56318    0.00000 
   0.67492    2.87993   62.62194    0.00000 
   0.88487    3.07200   62.08714    0.00000 
   0.56241    3.10834   67.78151    0.00000 
   0.72435    2.85462   61.58394    0.00000 
   0.55420    2.96744   65.25130    0.00000 
   0.94422    3.09358   61.55968    0.00000 
   0.83653    3.08441   63.29128    0.00000 
   0.90577    3.09236   62.25890    0.00000 
   0.78016    3.00858   62.52398    0.00000 
   0.94422    3.09071   61.47568    0.00000 
   0.91153    3.09236   62.15067    0.00000 
   0.65303    3.00858   64.54360    0.00000 
   0.85537    3.06774   62.51821    0.00000 
   0.74105    2.85462   61.27448    0.00000 
   0.94422    3.16486   63.89938    0.00000 
   0.83653    3.06055   62.67519    0.00000 
   0.18673    3.30465   75.55389    0.00000 
   0.84961    3.06774   62.62211    0.00000 
   0.76202    2.95358   61.91576    0.00000 
   0.90203    3.09071   62.28178    0.00000 
   0.71974    3.00116   63.39745    0.00000 
   0.82812    3.11268   64.23075    0.00000 
   0.67492    2.87993   62.62194    0.00000 
   0.80133    3.02965   62.58398    0.00000 
   0.65482    3.02337   64.78509    0.00000 
   0.83653    2.95358   60.52753    0.00000 
   0.67492    2.87993   62.62194    0.00000 
   0.83653    3.06055   62.67519    0.00000 
   0.16958    2.78960   67.84453    0.00000 
   0.72435    2.85462   61.58394    0.00000 
   0.76498    2.87993   61.01367    0.00000 
   0.67492    2.88247   62.64089    0.00000 
   0.97344    3.17333   63.67153    0.00000 

Generation = 14

   0.85380    3.09287   63.21984    0.00000 
   0.94520    3.06875 5498.23475    0.00000 
   0.55420    2.96744   65.25130    0.00000 
   0.76768    2.85229   60.75141    0.00000 
   0.90203    3.09071   62.28178    0.00000 
   0.82812    3.11268   64.23075    0.00000 
   0.80133    2.99534   61.89864    0.00000 
   0.74154    2.85462   61.26520    0.00000 
   0.91153    3.08922   62.06070    0.00000 
   0.94422    3.09071   61.47568    0.00000 
   0.74105    2.85462   61.27448    0.00000 
   0.70452    2.85462   61.94276    0.00000 
   0.65892    3.06774   65.64594    0.00000 
   0.83653    3.08441   63.29128    0.00000 
   0.85537    3.06774   62.51821    0.00000 
   0.88039    3.17354   65.33839    0.00000 
   0.71974    3.00116   63.39745    0.00000 
   0.82506    2.87993 10670.64880    0.00000 
   0.83798    3.03176   61.97343    0.00000 
   0.83653    2.97882   60.94653    0.00000 
