Seed = 0

Generation = 1

     x(1)       x(2)       f(1)       CV	
   2.99603    1.94899    0.04780    0.00000 
   2.99652    2.17996    0.58589    0.00000 
   3.01564    2.04390    0.05637    0.00000 
   3.00442    1.88851    0.19133    0.00000 
   3.07116    1.85533    0.31933    0.00000 
   2.96439    2.08878    0.12247    0.00000 
   3.10026    1.86014    0.41580    0.00000 
   2.97249    2.38710    2.84099    0.00000 
   2.97134    1.96203    0.07581    0.00000 
   2.97249    2.04390    0.03701    0.00000 
   3.01531    2.04390    0.05569    0.00000 
   3.07116    1.96203    0.16155    0.00000 
   2.97249    2.06176    0.06040    0.00000 
   2.96439    2.08878    0.12247    0.00000 
   3.01205    1.89805    0.14939    0.00000 

Generation = 11

   2.99603    1.94839    0.04886    0.00000 
   2.97249    2.06176    0.06040    0.00000 
   3.10026    1.85521    0.42762    0.00000 
   3.05984    1.95936    0.11390    0.00000 
   2.97316    2.04390    0.03626    0.00000 
   2.96439    2.08878    0.12247    0.00000 
   2.97249    2.06638    0.06835    0.00000 
   2.91904    2.08271    0.22313    0.00000 
   2.97647    2.04390    0.03308    0.00000 
   2.88865    1.99088    0.46384    0.00000 
   2.92809    2.05457    0.16047    0.00000 
   3.07116    1.96203    0.16155    0.00000 
   2.97249    2.04390    0.03701    0.00000 
   2.97249    1.99088    0.03416    0.00000 
   3.01531    2.04390    0.05569    0.00000 
   2.97991    1.90976    0.18332    0.00000 
   2.99044    2.04390    0.02840    0.00000 
   3.01564    2.04390    0.05637    0.00000 
   2.99603    2.05200    0.04354    0.00000 
   3.01531    2.04390    0.05569    0.00000 
   2.99603    1.94899    0.04780    0.00000 
   2.99044    2.04390    0.02840    0.00000 
   2.97329    2.04514    0.03739    0.00000 
   3.09808    2.06052    0.55203    0.00000 
   2.95659    2.04377    0.06398    0.00000 
   2.95411    2.04401    0.06998    0.00000 
   2.95411    2.04427    0.07014    0.00000 
   2.98925    1.99088    0.00763    0.00000 
   3.01205    1.89805    0.14939    0.00000 
   2.97249    2.04390    0.03701    0.00000 
   2.89650    2.44530    3.54655    0.00000 
   2.97752    2.03994    0.02821    0.00000 
   3.04459    1.96203    0.06482    0.00000 
   2.96439    2.08852    0.12182    0.00000 
   2.96439    2.55519    6.33463    0.00000 
   3.04459    1.96203    0.06482    0.00000 
   2.97249    2.04390    0.03701    0.00000 
   2.97644    2.08271    0.10205    0.00000 
   2.97249    2.04390    0.03701    0.00000 
   3.00442    1.88851    0.19133    0.00000 

Generation = 12

   2.98194    2.04401    0.02967    0.00000 
   2.97249    2.04390    0.03701    0.00000 
   2.96439    2.08878    0.12247    0.00000 
   2.98925    1.99088    0.00763    0.00000 
   3.01531    2.04390    0.05569    0.00000 
   2.98925    1.99088    0.00763    0.00000 
   2.97647    2.04390    0.03308    0.00000 
   2.99603    1.94839    0.04886    0.00000 
   2.97249    2.06638    0.06835    0.00000 
   2.99044    2.04390    0.02840    0.00000 
   2.97325    1.98221    0.04107    0.00000 
   3.10026    1.85521    0.42762    0.00000 
   2.97249    2.06176    0.06040    0.00000 
   3.02514    2.03110    0.05599    0.00000 
   2.97752    2.03994    0.02821    0.00000 
   2.97752    2.03994    0.02821    0.00000 
   2.97249    2.04390    0.03701    0.00000 
   2.99044    1.87210    0.28911    0.00000 
   2.97249    2.04390    0.03701    0.00000 
   3.00989    1.96203    0.02022    0.00000 
   2.95931    2.04390    0.05816    0.00000 
   3.11841    1.89805    0.46542    0.00000 
   3.01531    2.04390    0.05569    0.00000 
   2.99705    2.05036    0.04148    0.00000 
   2.99044    2.04390    0.02840    0.00000 
   3.01531    2.04390    0.05569    0.00000 
   2.97329    2.04514    0.03739    0.00000 
   2.97752    2.03994    0.02821    0.00000 
   2.91904    2.08271    0.22313    0.00000 
   3.04459    1.96203    0.06482    0.00000 
   2.88865    1.99088    0.46384    0.00000 
   2.99603    2.05200    0.04354    0.00000 
   2.97644    2.08271    0.10205    0.00000 
   2.97249    2.08190    0.10093    0.00000 
   2.97316    2.04390    0.03626    0.00000 
   3.00832    2.04390    0.04336    0.00000 
   2.97249    2.04390    0.03701    0.00000 
   3.00367    2.06176    0.07180    0.00000 
   2.97146    2.04555    0.03984    0.00000 
   2.95411    2.04427    0.07014    0.00000 

Generation = 13

   3.00367    2.06176    0.07180    0.00000 
   2.98925    1.99088    0.00763    0.00000 
   2.97752    2.03994    0.02821    0.00000 
   2.98925    1.99088    0.00763    0.00000 
   3.00989    1.96203    0.02022    0.00000 
   2.97146    2.04555    0.03984    0.00000 
   3.02514    2.03110    0.05599    0.00000 
   2.99044    2.04944    0.03641    0.00000 
   2.95411    2.04427    0.07014    0.00000 
   2.99298    2.30184    1.73532    0.00000 
   2.98925    1.99088    0.00763    0.00000 
   2.97249    2.04390    0.03701    0.00000 
   2.73842    1.92767    2.77324    0.00000 
   2.97752    2.00262    0.01751    0.00000 
   2.97647    2.04509    0.03437    0.00000 
   2.99603    2.05200    0.04354    0.00000 
   2.95105    1.77282    1.08976    0.00000 
   2.97325    1.82650    0.58808    0.00000 
   2.97644    2.08271    0.10205    0.00000 
   3.01531    2.04390    0.05569    0.00000 
   2.80921    2.03994    1.14233    0.00000 
   2.98194    2.04401    0.02967    0.00000 
